Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,602.9922178988327,1479.8871595330738,11.929961089494164,4.778210116731517,3.5525291828793772,1.7315175097276265,1.961089494163424,2.6133073929961084,155.1011673151751,341.71206225680936,496.81322957198444
Zero-shot,default,602.9922178988327,1515.4513618677042,11.69260700389105,4.64591439688716,3.6186770428015564,1.7626459143968871,1.933852140077821,2.606731517509727,155.1011673151751,348.36964980544747,503.47081712062254
Zero-shot,creative,602.9922178988327,1532.4007782101166,11.494163424124514,4.595330739299611,3.6653696498054473,1.7198443579766538,1.9922178988326849,2.6022957198443577,155.1011673151751,349.63813229571986,504.73929961089493
Few-shot,precise,1494.9922178988327,3234.9844357976654,15.96887159533074,7.330739299610895,3.299610894941634,1.45136186770428,1.3735408560311284,4.741128404669263,341.1011673151751,734.3346303501945,1075.4357976653696
Few-shot,default,1494.9922178988327,3299.6108949416343,15.571984435797665,6.992217898832685,3.159533073929961,1.4708171206225682,1.2996108949416343,4.719533073929961,341.1011673151751,748.7743190661479,1089.8754863813228
Few-shot,creative,1494.9922178988327,3399.9027237354085,15.315175097276265,6.762645914396887,3.2140077821011674,1.416342412451362,1.3268482490272373,4.901595330739301,341.1011673151751,766.3385214007782,1107.4396887159533
Chain-of-Thought,precise,1661.9922178988327,1827.0544747081713,16.245136186770427,6.536964980544747,3.167315175097276,1.6459143968871595,1.3852140077821011,3.0219455252918284,385.1011673151751,421.00389105058366,806.1050583657587
Chain-of-Thought,default,1661.9922178988327,1848.0894941634242,16.198443579766536,6.4591439688715955,3.2412451361867705,1.7003891050583657,1.443579766536965,3.1648249027237347,385.1011673151751,424.591439688716,809.692607003891
Chain-of-Thought,creative,1661.9922178988327,1868.669260700389,16.07782101167315,6.428015564202335,3.2840466926070038,1.6381322957198443,1.45136186770428,3.1191439688715925,385.1011673151751,427.9143968871595,813.0155642023346
Self-Consistency,precise,1276.9922178988327,2378.5408560311284,19.735408560311285,6.852140077821011,3.066147859922179,1.9143968871595332,1.490272373540856,3.965603112840468,280.1011673151751,554.4669260700389,834.568093385214
Self-Consistency,default,1276.9922178988327,2443.894941634241,20.638132295719846,7.4591439688715955,3.027237354085603,1.8521400778210118,1.4474708171206225,3.785992217898833,280.1011673151751,571.4863813229572,851.5875486381323
Self-Consistency,creative,1276.9922178988327,2557.3891050583657,21.603112840466927,7.797665369649805,3.105058365758755,1.8171206225680934,1.4708171206225682,4.038677042801558,280.1011673151751,596.272373540856,876.3735408560311
System Prompt,precise,818.9922178988327,2566.0077821011673,11.715953307392995,5.229571984435798,4.167315175097277,1.482490272373541,2.5719844357976656,4.137276264591437,194.1011673151751,574.8132295719844,768.9143968871596
System Prompt,default,818.9922178988327,2643.9688715953307,11.560311284046692,5.171206225680934,4.143968871595331,1.5019455252918288,2.431906614785992,4.084785992217901,194.1011673151751,587.4124513618677,781.5136186770428
System Prompt,creative,818.9922178988327,2605.280155642023,11.365758754863814,5.093385214007782,4.097276264591439,1.45136186770428,2.4474708171206228,4.06739299610895,194.1011673151751,582.6420233463035,776.7431906614786
Role Prompt,precise,1073.9922178988327,2819.295719844358,21.914396887159533,9.867704280155642,2.9883268482490273,1.4085603112840468,1.0972762645914398,4.207237354085602,234.1011673151751,622.7315175097276,856.8326848249027
Role Prompt,default,1073.9922178988327,2859.5875486381324,21.35408560311284,9.642023346303501,3.054474708171206,1.3618677042801557,1.105058365758755,4.274474708171206,234.1011673151751,627.4513618677042,861.5525291828794
Role Prompt,creative,1073.9922178988327,2888.2762645914395,21.299610894941633,9.439688715953308,2.992217898832685,1.3579766536964981,1.1206225680933852,4.387392996108953,234.1011673151751,634.023346303502,868.124513618677
Contextual,precise,784.8015564202335,2220.3891050583657,14.785992217898833,7.595330739299611,4.073929961089494,1.9143968871595332,2.264591439688716,3.654474708171205,183.6614785992218,498.3190661478599,681.9805447470817
Contextual,default,784.8015564202335,2250.0077821011673,14.638132295719844,7.392996108949417,4.136186770428016,1.8482490272373542,2.412451361867704,3.613268482490272,183.6614785992218,501.9260700389105,685.5875486381323
Contextual,creative,784.8015564202335,2247.4824902723735,14.186770428015564,7.287937743190661,4.085603112840467,1.8326848249027237,2.350194552529183,3.831712062256807,183.6614785992218,503.3579766536965,687.0194552529183
Tree of Thoughts,precise,1757.9922178988327,1556.591439688716,14.832684824902724,6.311284046692607,3.066147859922179,1.575875486381323,1.45136186770428,3.0892607003891057,396.1011673151751,363.63813229571986,759.7392996108949
Tree of Thoughts,default,1757.9922178988327,1594.284046692607,14.750972762645915,6.046692607003891,3.1089494163424125,1.5992217898832686,1.4474708171206225,2.762723735408558,396.1011673151751,369.85603112840465,765.9571984435797
Tree of Thoughts,creative,1757.9922178988327,1596.0933852140079,14.45136186770428,5.785992217898833,3.1439688715953307,1.5330739299610896,1.5797665369649805,2.742217898832684,396.1011673151751,368.4046692607004,764.5058365758755
ReAct,precise,1823.9922178988327,1200.4280155642023,10.01556420233463,3.3385214007782102,3.684824902723735,2.1634241245136185,1.3229571984435797,2.269182879377431,434.1011673151751,264.6420233463035,698.7431906614786
ReAct,default,1823.9922178988327,1235.420233463035,9.976653696498055,3.3190661478599224,3.642023346303502,2.167315175097276,1.3540856031128405,2.139766536964981,434.1011673151751,271.3463035019455,705.4474708171206
ReAct,creative,1823.9922178988327,1242.7704280155642,9.933852140077821,3.3035019455252916,3.6731517509727625,2.1206225680933852,1.4357976653696498,2.1337354085603097,434.1011673151751,272.7081712062257,706.8093385214008
