Strategy,Config,avg_ai_specificity,avg_ai_measurability,avg_ai_accuracy,avg_ai_completeness
Zero-shot,precise,4.0,4.01,4.64,3.86
Zero-shot,default,4.0,4.02,4.63,3.86
Zero-shot,creative,4.0,4.02,4.63,3.84
Few-shot,precise,4.14,4.15,5.0,4.06
Few-shot,default,4.19,4.18,5.0,4.03
Few-shot,creative,4.19,4.18,4.99,4.02
Chain-of-Thought,precise,4.0,4.0,4.8,3.98
Chain-of-Thought,default,4.0,4.0,4.81,3.99
Chain-of-Thought,creative,4.0,4.0,4.79,3.98
Self-Consistency,precise,3.11,3.11,3.22,3.1
Self-Consistency,default,3.21,3.21,3.41,3.19
Self-Consistency,creative,3.32,3.31,3.58,3.26
System Prompt,precise,4.32,4.41,4.7,3.97
System Prompt,default,4.24,4.37,4.68,3.92
System Prompt,creative,4.22,4.31,4.65,3.93
Role Prompt,precise,4.0,4.0,4.81,4.0
Role Prompt,default,4.0,3.99,4.81,4.0
Role Prompt,creative,4.0,4.0,4.81,4.0
Contextual,precise,4.0,4.02,4.51,3.96
Contextual,default,4.01,4.04,4.46,3.95
Contextual,creative,4.01,4.04,4.4,3.96
Tree of Thoughts,precise,4.0,4.0,4.73,3.95
Tree of Thoughts,default,4.0,4.0,4.72,3.95
Tree of Thoughts,creative,4.0,4.0,4.68,3.95
ReAct,precise,4.0,4.0,4.88,3.93
ReAct,default,4.0,4.0,4.9,3.93
ReAct,creative,4.0,3.99,4.81,3.9
